157,2,2,157,533,376,x
158,8,1,158,346,188,x
159,15,6,160,301,141,x
161,12,5,161,349,188,x
164,6,1,164,493,329,x
165,8,0,165,212,47,x
166,4,6,166,401,235,x
168,3,6,168,403,235,x
170,1,1,170,358,188,x
175,6,2,175,504,329,x
53,11,2,179,414,235,x
179,4,1,180,509,329,x
181,8,2,181,463,282,x
133,14,1,182,464,282,x
185,13,0,185,232,47,x
187,8,4,187,328,141,x
189,4,5,189,236,47,x
190,12,3,190,284,94,x
91,1,4,192,521,329,x
193,3,1,193,334,141,x
76,4,7,194,335,141,x
195,5,0,195,571,376,x
184,9,6,199,387,188,x
201,4,2,201,577,376,x
203,7,6,203,391,188,x
204,6,4,204,486,282,x
205,10,6,205,440,235,x
147,5,1,208,255,47,x
119,0,2,209,350,141,x
207,7,3,210,445,235,x
94,15,3,211,305,94,x
210,8,5,212,447,235,x
44,13,6,213,401,188,x
109,1,0,214,402,188,x
209,3,0,215,544,329,x
216,11,1,216,310,94,x
217,9,0,217,452,235,x
172,10,3,219,266,47,x
220,12,0,220,455,235,x
223,7,5,223,505,282,x
99,12,4,225,272,47,x
112,5,4,227,321,94,x
225,7,4,228,510,282,x
89,6,5,229,323,94,x
236,0,7,236,283,47,x
59,3,3,237,331,94,x
139,10,2,238,332,94,x
240,0,1,241,335,94,x
243,9,5,243,384,141,x
115,8,7,244,385,141,x
244,13,0,245,292,47,x
197,14,3,246,387,141,x
208,4,4,247,529,282,x
226,11,5,248,483,235,x
35,5,6,250,532,282,x
251,14,7,251,345,94,x
246,13,2,252,299,47,x
79,7,2,253,582,329,x
254,15,4,254,395,141,x
255,1,7,255,631,376,x
233,5,1,256,303,47,x
80,12,2,257,539,282,x
257,10,7,258,446,188,x
259,12,1,262,450,188,x
264,9,1,264,358,94,x
265,1,3,265,406,141,x
180,10,3,266,454,188,x
268,9,2,269,551,282,x
45,6,0,270,364,94,x
140,0,4,272,460,188,x
228,12,4,273,320,47,x
274,4,5,274,462,188,x
275,5,5,275,416,141,x
272,15,5,276,370,94,x
278,1,5,278,513,235,x
218,12,3,284,472,188,x
167,2,4,285,332,47,x
286,8,0,286,380,94,x
288,4,0,288,664,376,x
174,6,6,289,3579,3290,x
293,6,7,294,482,188,x
33,13,1,295,436,141,x
273,15,2,296,343,47,x
111,2,3,297,673,376,x
297,11,6,298,486,188,x
301,14,5,301,677,376,x
70,3,4,304,445,141,x
114,15,3,305,493,188,x
307,13,0,307,495,188,x
97,4,3,308,496,188,x
232,11,4,309,356,47,x
152,14,2,311,358,47,x
313,6,3,313,360,47,x
206,3,5,314,596,282,x
221,11,1,315,597,282,x
191,10,1,316,363,47,x
319,1,2,319,554,235,x
279,12,4,320,367,47,x
125,5,4,321,509,188,x
93,14,4,322,557,235,x
92,6,5,323,464,141,x
136,9,7,324,371,47,x
151,2,5,325,466,141,x
202,8,4,328,563,235,x
329,0,7,329,376,47,x
138,3,3,331,519,188,x
192,2,4,332,379,47,x
162,10,2,333,380,47,x
261,0,6,334,616,282,x
110,4,7,335,570,235,x
194,3,1,336,524,188,x
285,9,3,337,478,141,x
160,13,5,339,527,188,x
340,0,3,340,387,47,x
344,12,6,344,673,329,x
295,14,7,345,439,94,x
323,8,1,346,440,94,x
346,5,3,347,629,282,x
348,2,6,348,630,282,x
200,12,5,349,396,47,x
352,10,5,352,540,188,x
354,13,3,354,636,282,x
267,11,4,356,497,141,x
104,5,7,357,545,188,x
253,1,1,358,405,47,x
178,14,2,359,406,47,x
314,6,3,360,501,141,x
359,7,7,361,408,47,x
235,14,6,364,458,94,x
61,6,0,365,412,47,x
366,10,4,366,507,141,x
351,12,4,367,555,188,x
369,11,3,369,651,282,x
312,15,5,370,558,188,x
256,3,7,371,747,376,x
198,9,7,372,466,94,x
371,9,1,377,612,235,x
237,2,4,379,426,47,x
156,14,0,380,615,235,x
383,13,2,383,571,188,x
305,9,5,384,431,47,x
277,8,7,385,667,282,x
364,0,3,387,434,47,x
322,1,6,389,436,47,x
215,9,6,390,625,235,x
326,7,6,391,767,376,x
393,15,0,393,440,47,x
17,13,4,394,535,141,x
363,12,5,396,725,329,x
238,7,1,399,446,47,x
176,4,6,401,589,188,x
118,13,6,402,543,141,x
182,1,0,403,544,141,x
404,15,1,404,545,141,x
331,1,3,408,455,47,x
400,6,0,412,694,282,x
300,11,2,414,696,282,x
416,0,1,416,745,329,x
420,10,0,420,655,235,x
424,3,2,424,659,235,x
299,2,4,426,473,47,x
430,8,6,430,665,235,x
368,0,3,434,669,235,x
380,1,6,436,483,47,x
90,13,1,437,719,282,x
